===== HOURLY SIMULATION RESULTS =====

  load  solar_available  solar_used  battery_charge  battery_discharge  curtailed_solar      grid  soc
 4.368         0.000000    0.000000               0               0.00                0  4.368000 20.0
 6.220         0.000000    0.000000               0               0.00                0  6.220000 20.0
10.170         0.000000    0.000000               0               0.00                0 10.170000 20.0
 9.498         0.000000    0.000000               0               0.00                0  9.498000 20.0
 8.582         0.000000    0.000000               0               0.00                0  8.582000 20.0
 7.228         0.000000    0.000000               0               0.00                0  7.228000 20.0
 5.618         0.000000    0.000000               0               0.00                0  5.618000 20.0
 4.528         0.000000    0.000000               0               0.00                0  4.528000 20.0
 3.321         0.000791    0.000791               0               0.00                0  3.320209 20.0
 2.686         0.013228    0.013228               0               0.00                0  2.672772 20.0
 2.572         0.029795    0.029795               0               0.00                0  2.542205 20.0
 2.458         0.051646    0.051646               0               0.00                0  2.406354 20.0
 3.480         0.072822    0.072822               0               0.00                0  3.407178 20.0
 3.603         0.055953    0.055953               0               0.00                0  3.547047 20.0
 8.060         0.078170    0.078170               0               0.00                0  7.981830 20.0
13.488         0.070554    0.070554               0               0.00                0 13.417446 20.0
14.411         0.054078    0.054078               0               0.00                0 14.356922 20.0
12.151         0.029160    0.029160               0               0.00                0 12.121840 20.0
12.455         0.006428    0.006428               0               0.00                0 12.448572 20.0
12.154         0.000000    0.000000               0               0.00                0 12.154000 20.0
12.232         0.000000    0.000000               0               0.00                0 12.232000 20.0
11.198         0.000000    0.000000               0               0.00                0 11.198000 20.0
 9.026         0.000000    0.000000               0               0.00                0  9.026000 20.0
 6.925         0.000000    0.000000               0               0.00                0  6.925000 20.0
 8.616         0.000000    0.000000               0               0.00                0  8.616000 20.0
 8.533         0.000000    0.000000               0               0.00                0  8.533000 20.0
11.068         0.000000    0.000000               0               0.00                0 11.068000 20.0
14.767         0.000000    0.000000               0               0.00                0 14.767000 20.0
13.270         0.000000    0.000000               0               0.00                0 13.270000 20.0
10.097         0.000000    0.000000               0               0.00                0 10.097000 20.0
 7.442         0.000000    0.000000               0               0.00                0  7.442000 20.0
 4.631         0.000000    0.000000               0               0.00                0  4.631000 20.0
 3.751         0.000778    0.000778               0               0.00                0  3.750222 20.0
 3.500         0.012908    0.012908               0               0.00                0  3.487092 20.0
 3.371         0.030875    0.030875               0               0.00                0  3.340125 20.0
 4.887         0.047110    0.047110               0               0.00                0  4.839890 20.0
 4.396         0.060316    0.060316               0               0.00                0  4.335684 20.0
 3.335         0.064757    0.064757               0               0.00                0  3.270243 20.0
 5.517         0.081246    0.081246               0               0.00                0  5.435754 20.0
 9.525         0.080382    0.080382               0               0.00                0  9.444618 20.0
11.864         0.064359    0.064359               0               0.00                0 11.799641 20.0
11.521         0.034806    0.034806               0               0.00                0 11.486194 20.0
10.670         0.007754    0.007754               0               0.00                0 10.662246 20.0
 9.331         0.000000    0.000000               0               0.00                0  9.331000 20.0
 8.674         0.000000    0.000000               0               0.00                0  8.674000 20.0
 7.102         0.000000    0.000000               0               0.00                0  7.102000 20.0
 4.482         0.000000    0.000000               0               0.00                0  4.482000 20.0
 5.311         0.000000    0.000000               0               0.00                0  5.311000 20.0
 5.968         0.000000    0.000000               0               0.00                0  5.968000 20.0
 7.286         0.000000    0.000000               0               0.00                0  7.286000 20.0
11.520         0.000000    0.000000               0               0.00                0 11.520000 20.0
11.604         0.000000    0.000000               0               0.00                0 11.604000 20.0
 8.409         0.000000    0.000000               0               0.00                0  8.409000 20.0
 7.913         0.000000    0.000000               0               0.00                0  7.913000 20.0
 8.659         0.000000    0.000000               0               0.00                0  8.659000 20.0
 8.328         0.000000    0.000000               0               0.00                0  8.328000 20.0
 7.775         0.001166    0.001166               0               0.00                0  7.773834 20.0
 7.056         0.019691    0.019691               0               0.00                0  7.036309 20.0
 6.932         0.050142    0.050142               0               0.00                0  6.881858 20.0
 6.750         0.080028    0.080028               0               0.00                0  6.669972 20.0
 6.766         0.101995    0.101995               0               0.00                0  6.664005 20.0
 6.540         0.095550    0.095550               0               0.00                0  6.444450 20.0
 5.056         0.119483    0.119483               0               0.00                0  4.936517 20.0
11.341         0.113625    0.113625               0               0.00                0 11.227375 20.0
16.565         0.079834    0.079834               0               0.00                0 16.485166 20.0
12.389         0.043122    0.043122               0               0.00                0 12.345878 20.0
 9.838         0.010066    0.010066               0               0.00                0  9.827934 20.0
 9.892         0.000000    0.000000               0               0.00                0  9.892000 20.0
10.794         0.000000    0.000000               0               0.00                0 10.794000 20.0
 8.300         0.000000    0.000000               0               0.00                0  8.300000 20.0
 8.625         0.000000    0.000000               0               0.00                0  8.625000 20.0
 6.627         0.000000    0.000000               0               0.00                0  6.627000 20.0
 5.501         0.000000    0.000000               0               0.00                0  5.501000 20.0
 8.437         0.000000    0.000000               0               0.00                0  8.437000 20.0
11.658         0.000000    0.000000               0               0.00                0 11.658000 20.0
13.640         0.000000    0.000000               0               0.00                0 13.640000 20.0
12.372         0.000000    0.000000               0               0.00                0 12.372000 20.0
10.844         0.000000    0.000000               0               0.00                0 10.844000 20.0
 9.251         0.000000    0.000000               0               0.00                0  9.251000 20.0
 7.700         0.000000    0.000000               0               0.00                0  7.700000 20.0
 8.032         0.001045    0.001045               0               0.00                0  8.030955 20.0
 7.490         0.014507    0.014507               0               0.00                0  7.475493 20.0
 7.915         0.040284    0.040284               0               0.00                0  7.874716 20.0
 7.513         0.063772    0.063772               0               0.00                0  7.449228 20.0
 8.454         0.087437    0.087437               0               0.00                0  8.366563 20.0
 9.187         0.079812    0.079812               0               0.00                0  9.107188 20.0
 8.514         0.070986    0.070986               0               0.00                0  8.443014 20.0
12.690         0.098215    0.098215               0               0.00                0 12.591785 20.0
19.095         0.073181    0.073181               0               0.00                0 19.021819 20.0
18.623         0.038461    0.038461               0               0.00                0 18.584539 20.0
12.986         0.007690    0.007690               0               0.00                0 12.978310 20.0
 9.834         0.000000    0.000000               0               0.00                0  9.834000 20.0
11.492         0.000000    0.000000               0               0.00                0 11.492000 20.0
13.781         0.000000    0.000000               0               0.00                0 13.781000 20.0
12.872         0.000000    0.000000               0               0.00                0 12.872000 20.0
10.702         0.000000    0.000000               0               0.00                0 10.702000 20.0
11.665         0.000000    0.000000               0               0.00                0 11.665000 20.0
10.768         0.000000    0.000000               0               0.00                0 10.768000 20.0
16.418         0.000000    0.000000               0               0.00                0 16.418000 20.0
15.558         0.000000    0.000000               0               0.00                0 15.558000 20.0
17.125         0.000000    0.000000               0               0.00                0 17.125000 20.0
10.954         0.000000    0.000000               0               0.00                0 10.954000 20.0
10.265         0.000000    0.000000               0               0.00                0 10.265000 20.0
 7.440         0.000000    0.000000               0               0.00                0  7.440000 20.0
 6.924         0.000791    0.000791               0               0.00                0  6.923209 20.0
 7.124         0.010994    0.010994               0               0.00                0  7.113006 20.0
 7.629         0.025337    0.025337               0               0.00                0  7.603663 20.0
 7.535         0.038094    0.038094               0               0.00                0  7.496906 20.0
 6.824         0.048233    0.048233               0               0.00                0  6.775767 20.0
 7.317         0.033601    0.033601               0               0.00                0  7.283399 20.0
10.490         0.045619    0.045619               0               0.00                0 10.444381 20.0
18.461         0.044077    0.044077               0               0.00                0 18.416923 20.0
17.223         0.033523    0.033523               0               0.00                0 17.189477 20.0
15.940         0.020269    0.020269               0               0.00                0 15.919731 20.0
11.012         0.004061    0.004061               0               0.00                0 11.007939 20.0
 9.329         0.000000    0.000000               0               0.00                0  9.329000 20.0
 9.790         0.000000    0.000000               0               0.00                0  9.790000 20.0
10.496         0.000000    0.000000               0               0.00                0 10.496000 20.0
11.442         0.000000    0.000000               0               0.00                0 11.442000 20.0
 9.069         0.000000    0.000000               0               0.00                0  9.069000 20.0
 9.303         0.000000    0.000000               0               0.00                0  9.303000 20.0
12.422         0.000000    0.000000               0               0.00                0 12.422000 20.0
16.114         0.000000    0.000000               0               0.00                0 16.114000 20.0
15.434         0.000000    0.000000               0               0.00                0 15.434000 20.0
13.972         0.000000    0.000000               0               0.00                0 13.972000 20.0
12.057         0.000000    0.000000               0               0.00                0 12.057000 20.0
10.714         0.000000    0.000000               0               0.00                0 10.714000 20.0
 8.399         0.000000    0.000000               0               0.00                0  8.399000 20.0
 7.623         0.000791    0.000791               0               0.00                0  7.622209 20.0
 7.488         0.013228    0.013228               0               0.00                0  7.474772 20.0
 7.357         0.029795    0.029795               0               0.00                0  7.327205 20.0
 8.516         0.051646    0.051646               0               0.00                0  8.464354 20.0
 9.260         0.072822    0.072822               0               0.00                0  9.187178 20.0
 9.040         0.055953    0.055953               0               0.00                0  8.984047 20.0
12.012         0.078170    0.078170               0               0.00                0 11.933830 20.0
13.514         0.070554    0.070554               0               0.00                0 13.443446 20.0
18.473         0.054078    0.054078               0               0.00                0 18.418922 20.0
17.819         0.029160    0.029160               0               0.00                0 17.789840 20.0
18.103         0.006428    0.006428               0               0.00                0 18.096572 20.0
14.523         0.000000    0.000000               0               0.00                0 14.523000 20.0
14.202         0.000000    0.000000               0               0.00                0 14.202000 20.0
12.506         0.000000    0.000000               0               0.00                0 12.506000 20.0
10.117         0.000000    0.000000               0               0.00                0 10.117000 20.0
 7.154         0.000000    0.000000               0               0.00                0  7.154000 20.0
 7.701         0.000000    0.000000               0               0.00                0  7.701000 20.0
15.709         0.000000    0.000000               0               0.00                0 15.709000 20.0
15.438         0.000000    0.000000               0               0.00                0 15.438000 20.0
17.076         0.000000    0.000000               0               0.00                0 17.076000 20.0
16.514         0.000000    0.000000               0               0.00                0 16.514000 20.0
14.137         0.000000    0.000000               0               0.00                0 14.137000 20.0
10.514         0.000000    0.000000               0               0.00                0 10.514000 20.0
 8.871         0.000000    0.000000               0               0.00                0  8.871000 20.0
 7.655         0.000778    0.000778               0               0.00                0  7.654222 20.0
 7.453         0.012908    0.012908               0               0.00                0  7.440092 20.0
 7.464         0.030875    0.030875               0               0.00                0  7.433125 20.0
 7.508         0.047110    0.047110               0               0.00                0  7.460890 20.0
 7.461         0.060316    0.060316               0               0.00                0  7.400684 20.0
 8.949         0.064757    0.064757               0               0.00                0  8.884243 20.0
11.001         0.081246    0.081246               0               0.00                0 10.919754 20.0
15.015         0.080382    0.080382               0               0.00                0 14.934618 20.0
16.945         0.064359    0.064359               0               0.00                0 16.880641 20.0
